location,area_sqft,bedrooms,bathrooms,parking_spaces,house_age,floors,has_garden,has_pool,renovation_year,price
Rural,4476.0,2.0,2.0,3,46.0,2,0,1,,394600.0
Downtown,4744.0,3.0,2.0,0,13.0,2,1,0,2005.0,913300.0
Uptown,1679.0,4.0,3.0,2,33.0,2,0,0,2007.0,449900.0
Midtown,4785.0,3.0,,0,48.0,3,0,0,,630600.0
Downtown,4065.0,6.0,6.0,1,30.0,2,1,0,2014.0,1038200.0
Rural,1382.0,4.0,1.0,3,39.0,3,0,1,2003.0,195700.0
Rural,899.0,5.0,1.0,0,41.0,1,1,0,2017.0,127100.0
Downtown,1108.0,2.0,1.0,0,17.0,3,0,1,,305500.0
Midtown,2138.0,6.0,2.0,1,29.0,2,0,0,2008.0,446100.0
Downtown,2648.0,1.0,1.0,1,24.0,1,0,0,,484700.0
Rural,,4.0,1.0,0,18.0,3,1,0,2007.0,242200.0
Suburb,1903.0,4.0,3.0,1,7.0,1,1,0,2002.0,345500.0
Uptown,1319.0,6.0,4.0,1,27.0,1,0,0,,420600.0
Rural,3792.0,6.0,3.0,1,7.0,1,0,0,2017.0,448000.0
Downtown,1319.0,3.0,2.0,1,30.0,3,0,0,2013.0,340600.0
Uptown,919.0,5.0,1.0,1,2.0,2,1,0,,335800.0
Downtown,4719.0,3.0,3.0,3,2.0,3,0,0,,868800.0
Downtown,3802.0,3.0,1.0,1,43.0,2,1,0,2003.0,724400.0
Suburb,2008.0,5.0,3.0,2,21.0,3,1,1,,407800.0
Uptown,1267.0,1.0,1.0,0,16.0,3,1,0,,298000.0
Uptown,2544.0,3.0,1.0,3,35.0,3,1,0,2014.0,468200.0
Suburb,2639.0,3.0,1.0,3,16.0,2,1,1,2018.0,426800.0
Rural,3529.0,4.0,1.0,1,13.0,3,0,0,2021.0,421600.0
Downtown,2049.0,5.0,2.0,0,50.0,1,1,0,,448300.0
Midtown,2264.0,2.0,1.0,2,8.0,3,1,1,,413500.0
Downtown,3145.0,1.0,1.0,1,29.0,1,0,0,,635900.0
Downtown,4216.0,1.0,1.0,0,20.0,2,1,0,2011.0,733700.0
Rural,4981.0,5.0,2.0,1,11.0,2,0,0,2015.0,464800.0
Downtown,2793.0,6.0,1.0,1,36.0,3,0,0,,552700.0
Suburb,3208.0,6.0,6.0,1,31.0,3,0,0,,558500.0
Suburb,1400.0,4.0,3.0,1,,3,1,1,2004.0,373500.0
Uptown,3584.0,4.0,4.0,1,19.0,1,1,0,2010.0,833600.0
Midtown,2509.0,5.0,5.0,1,34.0,2,1,0,,526500.0
Downtown,741.0,4.0,2.0,1,46.0,1,0,0,2021.0,177800.0
Downtown,2885.0,1.0,1.0,2,45.0,1,1,0,,487300.0
Rural,4768.0,1.0,1.0,3,10.0,3,0,1,2003.0,481600.0
Suburb,1171.0,2.0,1.0,2,7.0,3,1,0,2004.0,225500.0
Midtown,663.0,6.0,3.0,1,3.0,1,0,1,2006.0,344000.0
Uptown,964.0,5.0,,1,,1,0,0,,301600.0
Suburb,3542.0,3.0,2.0,2,43.0,3,0,0,,402900.0
Uptown,2942.0,6.0,1.0,2,39.0,3,1,1,2021.0,628500.0
Rural,2855.0,3.0,1.0,3,37.0,1,1,1,,325100.0
Rural,4778.0,2.0,1.0,2,46.0,3,1,1,2013.0,449300.0
Downtown,3057.0,2.0,1.0,3,29.0,3,1,0,2007.0,606700.0
Midtown,1045.0,4.0,3.0,1,43.0,1,1,0,2013.0,269400.0
Uptown,4335.0,2.0,1.0,0,47.0,1,1,0,2013.0,693600.0
Suburb,1093.0,2.0,2.0,0,47.0,2,1,1,2019.0,178800.0
Rural,4304.0,3.0,3.0,0,26.0,1,0,0,2022.0,397800.0
Downtown,1959.0,4.0,2.0,0,20.0,3,0,0,,488500.0
Downtown,3993.0,2.0,1.0,1,19.0,1,1,0,,684300.0
Uptown,3101.0,6.0,1.0,0,3.0,1,1,0,,667000.0
Rural,2944.0,2.0,1.0,2,10.0,1,0,1,,309200.0
Midtown,3172.0,4.0,1.0,2,12.0,2,1,0,2021.0,570100.0
Rural,4700.0,5.0,4.0,0,8.0,2,1,0,2001.0,531400.0
Uptown,516.0,4.0,4.0,2,,3,0,0,2015.0,277100.0
Uptown,3691.0,3.0,2.0,3,11.0,2,1,0,2007.0,688600.0
Rural,892.0,5.0,2.0,1,8.0,1,1,0,2005.0,197600.0
Uptown,924.0,6.0,2.0,0,12.0,2,1,0,2022.0,398400.0
Rural,1071.0,1.0,1.0,0,47.0,1,0,0,,62000.0
Suburb,4131.0,4.0,2.0,1,25.0,2,1,0,2000.0,596000.0
Rural,1620.0,3.0,2.0,2,37.0,2,1,0,,204100.0
Rural,741.0,6.0,,1,41.0,2,1,0,2014.0,204500.0
Uptown,4397.0,5.0,5.0,1,12.0,1,1,0,,868900.0
Uptown,4595.0,6.0,6.0,2,38.0,2,0,0,2009.0,992000.0
Downtown,2779.0,4.0,4.0,1,27.0,1,1,0,2000.0,650200.0
Downtown,1288.0,2.0,1.0,2,18.0,1,0,0,2011.0,314200.0
Suburb,1214.0,4.0,1.0,2,23.0,3,1,1,2010.0,322200.0
Downtown,3349.0,1.0,1.0,1,18.0,2,1,0,2016.0,659100.0
Rural,1275.0,4.0,2.0,3,48.0,3,1,0,,165400.0
Uptown,4526.0,5.0,3.0,2,12.0,3,1,1,,1072900.0
Downtown,2747.0,5.0,2.0,1,12.0,1,1,0,2006.0,687200.0
Downtown,578.0,4.0,3.0,2,27.0,2,0,1,,324300.0
Suburb,4426.0,5.0,4.0,3,1.0,1,1,0,,754000.0
Suburb,1355.0,2.0,2.0,3,9.0,1,0,1,,239800.0
Rural,2648.0,6.0,1.0,0,21.0,2,1,1,,317600.0
Uptown,1531.0,4.0,4.0,2,12.0,1,0,0,,434400.0
Suburb,3771.0,2.0,1.0,2,8.0,2,1,0,,467000.0
Downtown,4076.0,6.0,6.0,1,32.0,2,1,0,,960800.0
Uptown,4682.0,6.0,3.0,2,13.0,1,1,0,,1023900.0
Uptown,3956.0,2.0,2.0,0,47.0,1,0,0,2021.0,626200.0
Downtown,4006.0,3.0,1.0,3,19.0,3,1,0,2013.0,756000.0
Suburb,907.0,4.0,4.0,3,14.0,1,1,0,,266600.0
Downtown,3211.0,6.0,6.0,0,-5.0,2,1,0,2003.0,913800.0
Uptown,3588.0,6.0,3.0,2,32.0,3,1,1,,815500.0
Midtown,2168.0,5.0,2.0,2,16.0,2,1,0,2022.0,485000.0
Midtown,647.0,6.0,2.0,0,23.0,3,1,0,2013.0,240600.0
Rural,4827.0,2.0,2.0,1,29.0,1,0,0,2005.0,445700.0
Downtown,4397.0,6.0,4.0,3,12.0,1,1,0,2022.0,903700.0
Downtown,2450.0,3.0,2.0,0,46.0,1,1,0,,507300.0
Rural,865.0,4.0,3.0,0,47.0,2,1,1,,171600.0
Rural,2174.0,4.0,1.0,2,15.0,3,0,0,2004.0,228700.0
Rural,4994.0,6.0,1.0,3,1.0,2,1,0,,609900.0
Uptown,3046.0,1.0,1.0,2,16.0,3,1,1,,637200.0
Downtown,1062.0,1.0,1.0,0,,1,0,1,,219400.0
Uptown,4062.0,2.0,1.0,1,42.0,2,1,0,,693900.0
Rural,2989.0,1.0,1.0,3,7.0,1,0,0,2023.0,269000.0
Downtown,1272.0,,2.0,0,2.0,2,0,0,2000.0,312800.0
Uptown,2537.0,5.0,2.0,0,11.0,1,1,0,,504500.0
Uptown,3923.0,2.0,1.0,1,19.0,2,1,1,,672600.0
Rural,3067.0,1.0,1.0,0,15.0,2,0,0,2018.0,290200.0
Downtown,2073.0,6.0,3.0,0,13.0,3,1,0,2008.0,612600.0
Rural,4194.0,5.0,2.0,3,-5.0,1,1,1,2013.0,515500.0
Downtown,3791.0,1.0,1.0,3,48.0,3,1,0,2017.0,538800.0
Midtown,1746.0,2.0,1.0,3,42.0,3,1,1,2009.0,336200.0
Suburb,4219.0,3.0,1.0,2,48.0,1,1,0,2008.0,480300.0
Suburb,4339.0,4.0,4.0,1,50.0,2,1,0,2005.0,577200.0
Suburb,859.0,1.0,1.0,3,32.0,3,0,0,,129900.0
Rural,2876.0,2.0,1.0,2,29.0,1,1,0,2004.0,287000.0
Midtown,3509.0,5.0,5.0,2,11.0,2,1,0,,709600.0
Downtown,3493.0,1.0,1.0,1,14.0,3,1,0,2012.0,669100.0
Uptown,1462.0,1.0,1.0,1,17.0,3,0,0,,269800.0
Downtown,4132.0,4.0,2.0,0,27.0,3,1,1,2022.0,906600.0
Uptown,2327.0,2.0,1.0,2,22.0,2,0,0,,432100.0
Downtown,,3.0,1.0,3,13.0,3,1,0,2000.0,532900.0
Midtown,2140.0,5.0,1.0,1,29.0,2,0,0,,346700.0
Uptown,2716.0,2.0,1.0,2,32.0,3,1,1,,511900.0
Rural,4812.0,5.0,5.0,3,44.0,1,1,0,,543100.0
Downtown,877.0,1.0,1.0,2,14.0,3,1,0,,282500.0
Downtown,4714.0,4.0,1.0,1,6.0,1,0,0,,995100.0
Uptown,,4.0,2.0,0,14.0,1,0,0,,796400.0
Rural,869.0,6.0,1.0,2,41.0,1,0,0,2022.0,106300.0
Rural,2696.0,3.0,2.0,3,,2,0,0,,277700.0
Midtown,4247.0,4.0,4.0,1,37.0,1,1,0,,660700.0
Rural,1151.0,1.0,1.0,0,45.0,3,0,1,2002.0,121900.0
Rural,1269.0,3.0,1.0,3,43.0,2,1,1,2013.0,185400.0
Rural,2921.0,2.0,2.0,3,10.0,1,0,0,,321300.0
Suburb,1280.0,4.0,1.0,3,28.0,2,1,0,,251300.0
Midtown,2216.0,3.0,1.0,2,30.0,2,1,0,2008.0,417300.0
Downtown,4483.0,1.0,1.0,1,24.0,2,0,0,,874400.0
Uptown,1811.0,6.0,5.0,3,23.0,3,1,1,,619900.0
Downtown,3859.0,5.0,2.0,2,18.0,1,0,0,2015.0,698800.0
Midtown,1022.0,5.0,2.0,1,1.0,2,0,0,,276400.0
Uptown,1021.0,1.0,1.0,1,,2,1,1,2011.0,304600.0
Midtown,2820.0,1.0,1.0,2,19.0,2,1,0,,451800.0
Rural,1435.0,5.0,3.0,2,32.0,1,1,0,2001.0,255000.0
Uptown,2730.0,6.0,5.0,3,7.0,2,1,0,2015.0,698300.0
Rural,4540.0,3.0,1.0,1,24.0,2,1,0,,519900.0
Downtown,4197.0,5.0,2.0,0,45.0,3,1,0,2018.0,848500.0
Downtown,3337.0,1.0,1.0,2,8.0,1,1,0,2009.0,641900.0
Uptown,4583.0,4.0,3.0,1,33.0,3,1,0,,805700.0
Uptown,2961.0,2.0,1.0,1,22.0,1,0,0,2009.0,513700.0
Midtown,,6.0,2.0,3,,1,0,0,,592400.0
Midtown,3859.0,6.0,5.0,0,24.0,1,1,0,2012.0,685700.0
Rural,1185.0,4.0,1.0,3,7.0,3,1,0,,202600.0
Uptown,2660.0,4.0,2.0,0,15.0,3,0,0,,437000.0
Downtown,4488.0,1.0,1.0,0,47.0,3,1,0,,775200.0
Midtown,4566.0,5.0,2.0,2,44.0,3,0,0,,804600.0
Midtown,2067.0,3.0,1.0,1,14.0,2,1,0,,392700.0
Downtown,538.0,6.0,5.0,1,0.0,2,0,0,2017.0,374800.0
Midtown,3044.0,6.0,2.0,1,21.0,2,1,0,2012.0,546700.0
Rural,1756.0,4.0,1.0,0,2.0,1,1,0,,232000.0
Uptown,3490.0,5.0,1.0,1,37.0,2,0,0,,583000.0
Downtown,2696.0,6.0,6.0,2,13.0,1,1,0,2022.0,820700.0
Uptown,3968.0,3.0,1.0,0,35.0,3,1,0,,650300.0
Midtown,3208.0,4.0,1.0,0,17.0,1,0,0,,453900.0
Midtown,801.0,3.0,3.0,0,46.0,1,0,1,2005.0,219300.0
Downtown,1146.0,5.0,4.0,0,40.0,2,0,0,,373600.0
Rural,2259.0,6.0,2.0,2,17.0,3,1,1,,289100.0
Suburb,4851.0,2.0,1.0,1,2.0,3,1,0,2017.0,606100.0
Downtown,1097.0,6.0,4.0,2,9.0,2,0,0,2016.0,491700.0
Suburb,1161.0,5.0,3.0,1,48.0,3,1,0,,235600.0
Suburb,4830.0,6.0,4.0,2,38.0,3,0,0,2002.0,633900.0
Rural,1868.0,6.0,1.0,3,46.0,3,1,0,2004.0,236000.0
Suburb,3081.0,1.0,1.0,3,0.0,2,0,0,,407400.0
Suburb,4368.0,6.0,5.0,3,26.0,3,1,1,,704500.0
Rural,4037.0,6.0,3.0,3,26.0,1,1,1,,482900.0
Suburb,4808.0,3.0,3.0,0,10.0,1,1,0,,624200.0
Suburb,782.0,2.0,2.0,0,48.0,3,1,1,,155100.0
Suburb,4178.0,3.0,1.0,2,4.0,2,1,1,,546400.0
Downtown,1986.0,3.0,3.0,2,6.0,2,0,1,,524400.0
Downtown,4582.0,4.0,3.0,3,18.0,2,1,0,2002.0,1003900.0
Downtown,4683.0,1.0,1.0,1,28.0,3,1,0,2020.0,905500.0
Rural,960.0,3.0,2.0,3,14.0,3,1,0,2002.0,167100.0
Midtown,2825.0,5.0,4.0,2,34.0,1,1,0,2004.0,478200.0
Suburb,4254.0,5.0,2.0,3,46.0,2,1,1,2015.0,557200.0
Suburb,2968.0,6.0,1.0,2,36.0,1,1,0,2019.0,463600.0
Rural,2224.0,4.0,2.0,3,11.0,1,0,0,,262300.0
Suburb,1876.0,1.0,1.0,1,29.0,2,1,1,,273900.0
Downtown,3243.0,1.0,1.0,3,19.0,3,1,0,2012.0,622100.0
Midtown,1014.0,6.0,2.0,1,36.0,3,1,1,,345900.0
Uptown,1202.0,5.0,4.0,1,2.0,1,1,0,,419900.0
Suburb,2153.0,2.0,,2,8.0,1,1,0,2023.0,294500.0
Downtown,2566.0,4.0,2.0,1,40.0,1,0,0,2012.0,470000.0
Uptown,522.0,6.0,5.0,0,38.0,1,1,0,2003.0,297000.0
Midtown,2960.0,4.0,3.0,0,,2,1,0,,542200.0
Uptown,1804.0,5.0,2.0,0,1.0,1,1,1,,456100.0
Downtown,3800.0,5.0,1.0,2,22.0,1,0,1,2018.0,897900.0
Uptown,861.0,2.0,2.0,0,22.0,3,0,0,,202000.0
Rural,4227.0,2.0,1.0,2,20.0,3,0,0,,329900.0
Uptown,1784.0,1.0,1.0,2,15.0,3,1,1,,473600.0
Suburb,1014.0,4.0,1.0,0,8.0,2,1,0,2003.0,209500.0
Suburb,948.0,4.0,4.0,1,12.0,2,0,0,2011.0,245600.0
Rural,2355.0,5.0,1.0,3,27.0,3,1,1,2005.0,362000.0
Downtown,4062.0,1.0,1.0,2,26.0,3,1,1,,765500.0
Suburb,3020.0,6.0,4.0,0,,1,1,0,,460200.0
Midtown,3581.0,4.0,1.0,2,16.0,1,0,0,,615800.0
Suburb,1928.0,1.0,1.0,1,37.0,2,1,0,2022.0,219700.0
Suburb,4467.0,1.0,1.0,1,35.0,2,0,0,,549400.0
Downtown,1422.0,5.0,3.0,0,,1,1,1,,472800.0
Uptown,3637.0,1.0,1.0,2,17.0,3,0,1,2003.0,659900.0
Suburb,2659.0,2.0,1.0,3,50.0,1,1,0,,290400.0
Rural,3047.0,2.0,1.0,3,8.0,2,1,0,2017.0,349300.0
Uptown,3479.0,3.0,3.0,2,12.0,2,0,1,2016.0,669600.0
Midtown,2781.0,5.0,2.0,2,39.0,1,0,0,,435200.0
Downtown,3149.0,6.0,3.0,2,44.0,1,1,0,,667500.0
Midtown,813.0,3.0,1.0,0,14.0,1,1,1,,215300.0
Uptown,3113.0,2.0,2.0,1,42.0,2,1,0,,508700.0
Uptown,3583.0,3.0,,3,43.0,3,0,0,,653200.0
Uptown,2756.0,5.0,4.0,0,45.0,1,0,0,2018.0,531000.0
Midtown,1537.0,5.0,5.0,2,3.0,2,1,0,,449600.0
Uptown,3989.0,,1.0,2,32.0,2,0,0,2011.0,593700.0
Midtown,3134.0,4.0,2.0,1,23.0,2,1,0,,528500.0
Uptown,4483.0,1.0,1.0,2,35.0,1,0,1,,640100.0
Rural,2278.0,5.0,1.0,0,50.0,1,1,0,,217000.0
Uptown,4395.0,,1.0,0,40.0,3,0,0,2000.0,672100.0
Midtown,1624.0,6.0,1.0,1,9.0,2,0,0,,359600.0
Suburb,1197.0,2.0,2.0,0,35.0,1,1,0,2006.0,179000.0
Uptown,2679.0,1.0,1.0,3,19.0,2,1,0,2014.0,447500.0
